ID_ARCs_Master	From_ID_Master_Node	To_ID_Master_Node	Infra_From	Infra_To	Power_Capacity	Definition
538	2005	3124	Power	TER	50	Dist_Line
539	2005	3127	Power	TER	80	Dist_Line
540	2005	3012	Power	TER	1000	Dist_Line
541	2005	3020	Power	TER	160	Dist_Line
542	2005	3006	Power	TER	100	Dist_Line
543	2005	3123	Power	TER	300	Dist_Line
544	2005	3016	Power	TER	350	Dist_Line
545	2005	3112	Power	TER	800	Dist_Line
546	2012	3125	Power	TER	45	Dist_Line
547	2012	3001	Power	TER	100	Dist_Line
548	2012	3007	Power	TER	100	Dist_Line
549	2012	3130	Power	TER	80	Dist_Line
550	2004	3131	Power	TER	80	Dist_Line
551	2010	3017	Power	TER	800	Dist_Line
552	2010	3019	Power	TER	600	Dist_Line
553	2010	3137	Power	TER	60	Dist_Line
554	2014	3008	Power	TER	100	Dist_Line
555	2014	3134	Power	TER	50	Dist_Line
556	2014	3139	Power	TER	150	Dist_Line
557	2005	3004	Power	TER	175	Dist_Line
558	2003	3015	Power	TER	750	Dist_Line
559	2010	3138	Power	TER	40	Dist_Line
560	2011	3010	Power	TER	100	Dist_Line
561	2003	3136	Power	TER	45	Dist_Line
562	2009	3018	Power	TER	400	Dist_Line
563	2005	3011	Power	TER	1000	Dist_Line
564	2003	3014	Power	TER	1000	Dist_Line
565	2006	3021	Power	TER	1000	Dist_Line
566	2006	3022	Power	TER	1000	Dist_Line
567	2009	3023	Power	TER	1000	Dist_Line
568	2003	3024	Power	TER	1000	Dist_Line
569	2005	3025	Power	TER	1000	Dist_Line
570	2007	3026	Power	TER	1000	Dist_Line
571	2007	3027	Power	TER	1000	Dist_Line
572	2010	3028	Power	TER	1000	Dist_Line
573	2005	3029	Power	TER	1000	Dist_Line
574	2005	3030	Power	TER	1000	Dist_Line
575	2005	3031	Power	TER	1000	Dist_Line
576	2012	3032	Power	TER	1000	Dist_Line
577	2013	3034	Power	TER	1000	Dist_Line
578	2007	3035	Power	TER	1000	Dist_Line
579	2003	3036	Power	TER	1000	Dist_Line
580	2004	3037	Power	TER	1000	Dist_Line
581	2005	3038	Power	TER	1000	Dist_Line
401	2013	2313	Power	Power	20000	Commercial Line
402	2013	2312	Power	Power	20000	Res_Line
403	2009	2314	Power	Power	20000	Res_Line
404	2009	2315	Power	Power	20000	Commercial Line
405	2007	2316	Power	Power	20000	Res_Line
406	2007	2317	Power	Power	20000	Commercial Line
407	2004	2318	Power	Power	20000	Res_Line
408	2004	2319	Power	Power	20000	Commercial Line
409	2006	2320	Power	Power	20000	Res_Line
410	2006	2321	Power	Power	20000	Commercial Line
411	2010	2322	Power	Power	20000	Res_Line
412	2010	2323	Power	Power	20000	Commercial Line
413	2012	2324	Power	Power	20000	Res_Line
414	2012	2325	Power	Power	20000	Commercial Line
415	2005	2326	Power	Power	20000	Res_Line
416	2005	2327	Power	Power	20000	Commercial Line
417	2014	2328	Power	Power	20000	Res_Line
418	2014	2329	Power	Power	20000	Commercial Line
419	2003	2330	Power	Power	20000	Res_Line
420	2003	2331	Power	Power	20000	Commercial Line
421	2011	2333	Power	Power	20000	Commercial Line
422	2011	2332	Power	Power	20000	Res_Line
423	2008	2335	Power	Power	20000	Commercial Line
424	2008	2334	Power	Power	20000	Res_Line
425	2011	1003	Power	Comm	500	Dist_Line
426	2005	1001	Power	Comm	1000	Dist_Line
427	2013	1006	Power	Comm	500	Dist_Line
428	2010	1002	Power	Comm	500	Dist_Line
429	2005	1004	Power	Comm	1000	Dist_Line
430	2004	1005	Power	Comm	500	Dist_Line
431	2007	1007	Power	Comm	1000	Dist_Line
432	2007	1025	Power	Comm	1000	Dist_Line
433	2007	1008	Power	Comm	1000	Dist_Line
434	2013	1024	Power	Comm	1000	Dist_Line
435	2009	1026	Power	Comm	1000	Dist_Line
436	2009	1009	Power	Comm	1000	Dist_Line
437	2006	1010	Power	Comm	1000	Dist_Line
438	2004	1027	Power	Comm	1000	Dist_Line
439	2005	1011	Power	Comm	1000	Dist_Line
440	2005	1028	Power	Comm	1000	Dist_Line
441	2005	1029	Power	Comm	1000	Dist_Line
442	2005	1014	Power	Comm	1000	Dist_Line
