ID_Master_Node	Definition	Infras_Type	Power_Use	Node_Type	MinGX	MinGY
1001	Central_Office	Comm	1000	0	20097308	1569770
1002	Central_Office	Comm	500	0	20444783	1648575
1003	Central_Office	Comm	500	0	20220617	1942529
1004	Central_Office	Comm	1000	0	20221638	1481352
1005	Central_Office	Comm	500	0	20446251	1495048
1006	Central_Office	Comm	500	0	20218049	881968
2001	Nuclear Station	Power	1790000	0	19945951	664776
2002	Steam Plant	Power	763000	0	19996593	1696481
2003	Trans_Substation	Power	0	1	20279564	1841293
2004	Trans_Substation	Power	0	1	20415441	1494997
2005	Dist_Substation	Power	0	1	20126427	1539785
2006	Dist_Substation	Power	0	1	20329952	1470913
2007	Trans_Substation	Power	0	1	20242296	1309244
2008	Dist_Substation	Power	0	1	20766995	2046237
2009	Trans_Substation	Power	0	1	20127267	1290568
2010	Trans_Substation	Power	0	1	20416132	1620241
2011	Dist_Substation	Power	0	1	20327998	1977728
2012	Dist_Substation	Power	0	1	20297065	1596520
2013	Dist_Substation	Power	0	1	20209802	917903
2014	Trans_Substation	Power	0	1	20002161	1691710
2217	Trans_Substation	Power	0	1	19941562	675301
2218	Steam Plant	Power	52500	0	19992134	610958
2219	Tap	Power	0	1	19963646	617681
2220	Tap	Power	0	1	19952852	616851
2221	Tap	Power	0	1	20266264	1614201
2222	Tap	Power	0	1	20251580	1477798
2223	Tap	Power	0	1	20731535	2101233
2224	External	Power	200000	0	19365490	1808661
2225	External	Power	200000	0	19369348	1816469
2226	External	Power	200000	0	19378360	1817063
2227	External	Power	200000	2	19384280	1824028
2228	External	Power	200000	0	19331925	1812556
2229	External	Power	100000	2	19597764	765231
2230	External	Power	100000	2	19645422	875259
2231	External	Power	100000	2	19861736	2080317
2232	External	Power	100000	2	19857865	2086315
2233	External	Power	100000	2	20239475	2360696
2234	External	Power	100000	2	21307734	3311143
2235	External	Power	100000	0	21324781	3185258
2236	External	Power	100000	2	21290614	3020763
2311	Tap	Power	0	1	20242685	1968707
2312	Residential Demand	Power	17358	2	20205686	915240
2313	Commercial Demand	Power	4300	2	20203166	919201
2314	Residential Demand	Power	11224	2	20122950	1282881
2315	Commercial Demand	Power	4720	2	20133677	1281906
2316	Residential Demand	Power	16950	2	20239978	1303605
2317	Commercial Demand	Power	1690	2	20248877	1307750
2318	Residential Demand	Power	15364	2	20420884	1488777
2319	Commercial Demand	Power	3310	2	20424785	1500602
2320	Residential Demand	Power	13702	2	20330675	1460618
2321	Commercial Demand	Power	5620	2	20339818	1474637
2322	Residential Demand	Power	12532	2	20420518	1629089
2323	Commercial Demand	Power	3510	2	20426735	1616533
2324	Residential Demand	Power	13682	2	20296176	1588617
2325	Commercial Demand	Power	5230	2	20305634	1599616
2326	Residential Demand	Power	17182	2	20114154	1553489
2327	Commercial Demand	Power	10770	2	20135674	1558749
2328	Residential Demand	Power	5652	2	19995559	1668258
2329	Commercial Demand	Power	3310	2	20017078	1676866
2330	Residential Demand	Power	5084	2	20265746	1867670
2331	Commercial Demand	Power	3290	2	20294438	1881060
2332	Residential Demand	Power	7636	2	20347519	1989135
2333	Commercial Demand	Power	1310	2	20345128	1969050
2334	Residential Demand	Power	10000	2	20766258	2035508
2335	Commercial Demand	Power	3000	2	20778572	2043060
2336	Shunt	Power	0	1	20117983	1596859
2337	Shunt	Power	0	1	20168546	1207100
