ID_ARCs_Master	From_ID_Master_Node	To_ID_Master_Node	Infra_From	Infra_To	Power_Capacity	Definition
1076	2000	2501	Power	Power	100000	Trans_Line
1077	2001	2502	Power	Power	100000	Trans_Line
1078	2002	2503	Power	Power	100000	Trans_Line
1079	2003	2504	Power	Power	100000	Trans_Line
1080	2501	3013	Power	Power	100000	Trans_Line
1081	2501	6014	Power	Power	100000	Trans_Line
1082	6006	2505	Power	Power	100000	Trans_Line
1083	2502	2506	Power	Power	100000	Trans_Line
1084	6001	3002	Power	Power	100000	Trans_Line
1085	6024	6502	Power	Power	100000	Trans_Line
1086	2507	3003	Power	Power	100000	Trans_Line
1087	2507	3004	Power	Power	100000	Trans_Line
1088	6004	2507	Power	Power	100000	Trans_Line
1089	2504	6008	Power	Power	100000	Trans_Line
1090	6011	2512	Power	Power	100000	Trans_Line
1091	2503	6003	Power	Power	100000	Trans_Line
1092	6022	2510	Power	Power	100000	Trans_Line
1093	2510	3008	Power	Power	100000	Trans_Line
1094	2509	3005	Power	Power	100000	Trans_Line
1095	3008	3005	Power	Power	100000	Trans_Line
1096	3005	3006	Power	Power	100000	Trans_Line
1097	2510	3006	Power	Power	100000	Trans_Line
1098	6021	3007	Power	Power	100000	Trans_Line
1099	2505	6020	Power	Power	100000	Trans_Line
1100	2502	6500	Power	Power	100000	Trans_Line
1101	2503	6501	Power	Power	100000	Trans_Line
1102	2505	6019	Power	Power	100000	Trans_Line
1103	2505	6009	Power	Power	100000	Trans_Line
1104	6007	2511	Power	Power	100000	Trans_Line
1105	2508	6018	Power	Power	100000	Trans_Line
1106	2511	3009	Power	Power	100000	Trans_Line
1107	3011	6016	Power	Power	100000	Trans_Line
1108	3009	6017	Power	Power	100000	Trans_Line
1109	6026	2512	Power	Power	100000	Trans_Line
1110	2504	6025	Power	Power	100000	Trans_Line
1111	2506	3012	Power	Power	100000	Trans_Line
1112	2000	6023	Power	Power	100000	Trans_Line
1113	6015	3001	Power	Power	100000	Trans_Line
1114	6002	2510	Power	Power	100000	Trans_Line
1115	6005	2507	Power	Power	100000	Trans_Line
1116	6013	2513	Power	Power	100000	Trans_Line
1117	6012	2513	Power	Power	100000	Trans_Line
1118	6010	2513	Power	Power	100000	Trans_Line
1119	2513	3014	Power	Power	100000	Trans_Line
1120	2513	3015	Power	Power	100000	Trans_Line
1121	2512	3015	Power	Power	100000	Trans_Line
1122	2512	3016	Power	Power	100000	Trans_Line
1123	2506	6001	Power	Power	100000	Trans_Line
1124	6023	2506	Power	Power	100000	Trans_Line
1125	2506	6002	Power	Power	100000	Trans_Line
1126	2501	6006	Power	Power	100000	Trans_Line
1127	6014	3001	Power	Power	100000	Trans_Line
1128	2505	6015	Power	Power	100000	Trans_Line
1129	6009	2511	Power	Power	100000	Trans_Line
1130	6019	3011	Power	Power	100000	Trans_Line
1131	6016	3009	Power	Power	100000	Trans_Line
1132	6020	2510	Power	Power	100000	Trans_Line
1133	2510	6021	Power	Power	100000	Trans_Line
1134	2509	6022	Power	Power	100000	Trans_Line
1135	2509	6012	Power	Power	100000	Trans_Line
1136	2508	6007	Power	Power	100000	Trans_Line
