ID_Master_Node	Definition	Infras_Type	Power_Use	Node_Type	MinGX	MinGY		
3	Intersection	TER	22	1	34123924	24626314		
4	Intersection	TER	0	1	34869533	24765850		
5	Intersection	TER	0	1	35349257	25113842		
7	Intersection	TER	0	1	33252736	24551060		
8	Intersection	TER	0	1	33930272	25047341		
9	Intersection	TER	0	1	33995215	25141831		
10	Intersection	TER	0	1	34238533	25463881		
11	Intersection	TER	22	1	33257093	24620821		
12	Intersection	TER	22	1	33208017	24806521		
14	Intersection	TER	22	1	33162846	25278301		
16	Intersection	TER	22	1	33597919	25292627		
17	Intersection	TER	22	1	33737059	25298762		
18	Intersection	TER	22	1	33921714	24918206		
19	Intersection	TER	22	1	34262469	24932761		
20	Intersection	TER	22	1	34981209	25132662		
21	Intersection	TER	22	1	34566054	25125523		
22	Intersection	TER	22	1	34713556	25279767		
23	Intersection	TER	22	1	34453818	25214544		
24	Intersection	TER	22	1	34322977	25178308		
25	Intersection	TER	22	1	33867267	25290172		
27	Intersection	TER	22	1	34435996	25112739		
28	Intersection	TER	22	1	34000597	25032523		
29	Intersection	TER	22	1	33950256	24992277		
30	Intersection	TER	0	1	33076487	24346989		
31	Intersection	TER	0	1	33142204	24339009		
32	Intersection	TER	0	1	33156649	24327214		
33	Intersection	TER	0	1	33203349	24315927		
34	Intersection	TER	0	1	33206581	24365115		
35	Intersection	TER	0	1	33178233	24361987		
36	Intersection	TER	0	1	33146275	24366441		
37	Intersection	TER	22	1	33162436	24431307		
38	Intersection	TER	0	1	33114317	24471680		
39	Intersection	TER	0	1	33198455	24458816		
40	Intersection	TER	22	1	33048249	24524962		
41	Intersection	TER	0	1	33227431	24494092		
43	Intersection	TER	0	1	33180151	24444835		
44	Intersection	TER	0	1	33425841	24514813		
45	Intersection	TER	0	1	33419741	24397789		
46	Intersection	TER	22	1	33431182	24538753		
47	Intersection	TER	0	1	33293053	24501384		
48	Intersection	TER	0	1	33368169	24383902		
49	Intersection	TER	0	1	33470888	24407573		
50	Intersection	TER	22	1	33397433	24603129		
51	Intersection	TER	0	1	33284486	24587150		
52	Intersection	TER	0	1	33324387	24704965		
53	Intersection	TER	0	1	33239901	25082910		
54	Intersection	TER	0	1	33326731	25080819		
55	Intersection	TER	22	1	33482243	24927103		
56	Intersection	TER	0	1	33625587	24948879		
57	Intersection	TER	0	1	33759307	24752183		
59	Intersection	TER	0	1	34023216	24801672		
60	Intersection	TER	0	1	34098591	24806992		
61	Intersection	TER	0	1	34333938	24801111		
62	Intersection	TER	0	1	33999187	24842028		
63	Intersection	TER	0	1	34094083	24870704		
65	Intersection	TER	0	1	33962222	24885805		
66	Intersection	TER	22	1	33950437	24857537		
68	Intersection	TER	22	1	34013303	24892873		
69	Intersection	TER	22	1	33867946	24774176		
70	Intersection	TER	22	1	33924317	24583765		
72	Intersection	TER	22	1	33959829	25035064		
73	Intersection	TER	22	1	33898836	24933256		
74	Intersection	TER	0	1	34049893	24888113		
75	Intersection	TER	22	1	34446351	24866163		
77	Intersection	TER	22	1	35278722	24861036		
78	Intersection	TER	22	1	35290994	24905328		
80	Intersection	TER	0	1	35331473	24864613		
81	Intersection	TER	0	1	35363791	24921701		
82	Intersection	TER	0	1	35363612	25195516		
83	Intersection	TER	0	1	35258892	25303246		
84	Intersection	TER	0	1	35203225	25190270		
85	Intersection	TER	0	1	34999866	25202864		
86	Intersection	TER	0	1	35109742	25286158		
87	Intersection	TER	0	1	34952664	25281691		
90	Intersection	TER	22	1	34728191	25335830		
91	Intersection	TER	22	1	33165270	25164665		
92	Intersection	TER	0	1	33891407	25007912		
93	Intersection	TER	0	1	33907948	25024493		
94	Intersection	TER	22	1	33933693	25028240		
95	Intersection	TER	22	1	33938788	25031296		
96	Intersection	TER	0	1	33387854	24897361		
97	Intersection	TER	22	1	33334130	25283845		
98	Intersection	TER	22	1	33558854	25172797		
99	Intersection	TER	22	1	33494505	24819070		
100	Intersection	TER	0	1	33023772	24855894		
101	Intersection	TER	0	1	32928365	25232914		
102	Intersection	TER	0	1	34703044	24657072		
103	Intersection	TER	22	1	35300912	24991835		
104	Intersection	TER	22	1	35359774	25026817		
105	Intersection	TER	0	1	35276229	25514990		
106	Intersection	TER	22	1	33913555	24972319		
107	Intersection	TER	22	1	33947972	24951470		
108	Intersection	TER	22	1	33919449	24982671		
109	Intersection	TER	22	1	33922700	24995015		
110	Intersection	TER	22	1	33925507	25007331		
111	Intersection	TER	22	1	33927425	25021540		
112	Intersection	TER	22	1	33945377	25020000		
113	Intersection	TER	22	1	33947986	25005172		
114	Intersection	TER	22	1	33950402	24986959		
115	Intersection	TER	22	1	33949274	24970476		
116	Intersection	TER	22	1	33929843	24962451		
117	Intersection	TER	22	1	33943330	24972906		
118	Intersection	TER	22	1	33933098	25021053		
119	Intersection	TER	22	1	33927496	24979380		
120	Intersection	TER	22	1	33933622	24976875		
121	Intersection	TER	22	1	33939160	24974611		
122	Intersection	TER	22	1	33929333	24993040		
123	Intersection	TER	22	1	33935200	24991500		
124	Intersection	TER	22	1	33936840	25006243		
125	Intersection	TER	22	1	33931158	25006622		
126	Intersection	TER	22	1	33941739	25005772		
127	Intersection	TER	22	1	33940196	24989974		
128	Intersection	TER	22	1	33942238	25020269		
129	Intersection	TER	22	1	33938340	25020604		
130	Intersection	TER	22	1	33945047	25005455		
131	Intersection	TER	22	1	33944166	24988766		
134	Intersection	TER	0	1	34059258	24962073		
135	Intersection	TER	22	1	34066201	25045813		
136	Intersection	TER	0	1	34168253	25018622		
137	Intersection	TER	0	1	34277464	25018900		
138	Intersection	TER	0	1	35055753	25076198		
139	Intersection	TER	0	1	35045394	25359472		
140	Intersection	TER	0	1	34988558	25321518		
141	Intersection	TER	0	1	34764858	25476456		
142	Intersection	TER	0	1	34503992	25313824		
143	Intersection	TER	0	1	34344892	25310768		
145	Intersection	TER	0	1	34466897	25388175		
146	Intersection	TER	0	1	34480407	25464090		
148	Intersection	TER	22	1	33967793	25161251		
149	Intersection	TER	22	1	33920548	25205318		
150	Intersection	TER	22	1	33882221	25081336		
151	Intersection	TER	22	1	33897225	25050167		
155	Intersection	TER	22	1	33907403	24956312		
156	Intersection	TER	22	1	33942951	24954511		
157	Intersection	TER	22	1	33946337	24971676		
158	Intersection	TER	22	1	33947139	24987908		
159	Intersection	TER	22	1	33962041	25018375		
160	Intersection	TER	22	1	33962153	25001206		
161	Intersection	TER	22	1	33961691	24984914		
163	Intersection	TER	22	1	33955599	24919631		
